Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/20,BR,Brazil,AMRO,0,0,0,0
1/4/20,BR,Brazil,AMRO,0,0,0,0
1/5/20,BR,Brazil,AMRO,0,0,0,0
1/6/20,BR,Brazil,AMRO,0,0,0,0
1/7/20,BR,Brazil,AMRO,0,0,0,0
1/8/20,BR,Brazil,AMRO,0,0,0,0
1/9/20,BR,Brazil,AMRO,0,0,0,0
1/10/20,BR,Brazil,AMRO,0,0,0,0
1/11/20,BR,Brazil,AMRO,0,0,0,0
1/12/20,BR,Brazil,AMRO,0,0,0,0
1/13/20,BR,Brazil,AMRO,0,0,0,0
1/14/20,BR,Brazil,AMRO,0,0,0,0
1/15/20,BR,Brazil,AMRO,0,0,0,0
1/16/20,BR,Brazil,AMRO,0,0,0,0
1/17/20,BR,Brazil,AMRO,0,0,0,0
1/18/20,BR,Brazil,AMRO,0,0,0,0
1/19/20,BR,Brazil,AMRO,0,0,0,0
1/20/20,BR,Brazil,AMRO,0,0,0,0
1/21/20,BR,Brazil,AMRO,0,0,0,0
1/22/20,BR,Brazil,AMRO,0,0,0,0
1/23/20,BR,Brazil,AMRO,0,0,0,0
1/24/20,BR,Brazil,AMRO,0,0,0,0
1/25/20,BR,Brazil,AMRO,0,0,0,0
1/26/20,BR,Brazil,AMRO,0,0,0,0
1/27/20,BR,Brazil,AMRO,0,0,0,0
1/28/20,BR,Brazil,AMRO,0,0,0,0
1/29/20,BR,Brazil,AMRO,0,0,0,0
1/30/20,BR,Brazil,AMRO,0,0,0,0
1/31/20,BR,Brazil,AMRO,0,0,0,0
2/1/20,BR,Brazil,AMRO,0,0,0,0
2/2/20,BR,Brazil,AMRO,0,0,0,0
2/3/20,BR,Brazil,AMRO,0,0,0,0
2/4/20,BR,Brazil,AMRO,0,0,0,0
2/5/20,BR,Brazil,AMRO,0,0,0,0
2/6/20,BR,Brazil,AMRO,0,0,0,0
2/7/20,BR,Brazil,AMRO,0,0,0,0
2/8/20,BR,Brazil,AMRO,0,0,0,0
2/9/20,BR,Brazil,AMRO,0,0,0,0
2/10/20,BR,Brazil,AMRO,0,0,0,0
2/11/20,BR,Brazil,AMRO,0,0,0,0
2/12/20,BR,Brazil,AMRO,0,0,0,0
2/13/20,BR,Brazil,AMRO,0,0,0,0
2/14/20,BR,Brazil,AMRO,0,0,0,0
2/15/20,BR,Brazil,AMRO,0,0,0,0
2/16/20,BR,Brazil,AMRO,0,0,0,0
2/17/20,BR,Brazil,AMRO,0,0,0,0
2/18/20,BR,Brazil,AMRO,0,0,0,0
2/19/20,BR,Brazil,AMRO,0,0,0,0
2/20/20,BR,Brazil,AMRO,0,0,0,0
2/21/20,BR,Brazil,AMRO,0,0,0,0
2/22/20,BR,Brazil,AMRO,0,0,0,0
2/23/20,BR,Brazil,AMRO,0,0,0,0
2/24/20,BR,Brazil,AMRO,0,0,0,0
2/25/20,BR,Brazil,AMRO,0,0,0,0
2/26/20,BR,Brazil,AMRO,0,0,0,0
2/27/20,BR,Brazil,AMRO,1,1,0,0
2/28/20,BR,Brazil,AMRO,0,1,0,0
2/29/20,BR,Brazil,AMRO,0,1,0,0
3/1/20,BR,Brazil,AMRO,0,1,0,0
3/2/20,BR,Brazil,AMRO,1,2,0,0
3/3/20,BR,Brazil,AMRO,0,2,0,0
3/4/20,BR,Brazil,AMRO,0,2,0,0
3/5/20,BR,Brazil,AMRO,0,2,0,0
3/6/20,BR,Brazil,AMRO,1,3,0,0
3/7/20,BR,Brazil,AMRO,5,8,0,0
3/8/20,BR,Brazil,AMRO,5,13,0,0
3/9/20,BR,Brazil,AMRO,6,19,0,0
3/10/20,BR,Brazil,AMRO,6,25,0,0
3/11/20,BR,Brazil,AMRO,0,25,0,0
3/12/20,BR,Brazil,AMRO,9,34,0,0
3/13/20,BR,Brazil,AMRO,26,60,0,0
3/14/20,BR,Brazil,AMRO,17,77,0,0
3/15/20,BR,Brazil,AMRO,7,84,0,0
3/16/20,BR,Brazil,AMRO,37,121,0,0
3/17/20,BR,Brazil,AMRO,79,200,0,0
3/18/20,BR,Brazil,AMRO,34,234,0,0
3/19/20,BR,Brazil,AMRO,57,291,1,1
3/20/20,BR,Brazil,AMRO,137,428,3,4
3/21/20,BR,Brazil,AMRO,0,428,0,4
3/22/20,BR,Brazil,AMRO,476,904,7,11
3/23/20,BR,Brazil,AMRO,0,904,0,11
3/24/20,BR,Brazil,AMRO,642,1546,14,25
3/25/20,BR,Brazil,AMRO,345,1891,9,34
3/26/20,BR,Brazil,AMRO,310,2201,12,46
3/27/20,BR,Brazil,AMRO,232,2433,11,57
3/28/20,BR,Brazil,AMRO,482,2915,20,77
3/29/20,BR,Brazil,AMRO,502,3417,15,92
3/30/20,BR,Brazil,AMRO,486,3903,22,114
3/31/20,BR,Brazil,AMRO,353,4256,22,136
