Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/20,DE,Germany,EURO,0,0,0,0
1/4/20,DE,Germany,EURO,1,1,0,0
1/5/20,DE,Germany,EURO,0,1,3,3
1/6/20,DE,Germany,EURO,0,1,0,3
1/7/20,DE,Germany,EURO,0,1,0,3
1/8/20,DE,Germany,EURO,0,1,0,3
1/9/20,DE,Germany,EURO,0,1,0,3
1/10/20,DE,Germany,EURO,0,1,0,3
1/11/20,DE,Germany,EURO,0,1,0,3
1/12/20,DE,Germany,EURO,0,1,0,3
1/13/20,DE,Germany,EURO,0,1,0,3
1/14/20,DE,Germany,EURO,0,1,0,3
1/15/20,DE,Germany,EURO,0,1,0,3
1/16/20,DE,Germany,EURO,0,1,0,3
1/17/20,DE,Germany,EURO,0,1,0,3
1/18/20,DE,Germany,EURO,0,1,0,3
1/19/20,DE,Germany,EURO,0,1,0,3
1/20/20,DE,Germany,EURO,0,1,0,3
1/21/20,DE,Germany,EURO,0,1,0,3
1/22/20,DE,Germany,EURO,0,1,0,3
1/23/20,DE,Germany,EURO,0,1,0,3
1/24/20,DE,Germany,EURO,0,1,0,3
1/25/20,DE,Germany,EURO,0,1,0,3
1/26/20,DE,Germany,EURO,1,2,3,6
1/27/20,DE,Germany,EURO,0,2,0,6
1/28/20,DE,Germany,EURO,0,2,0,6
1/29/20,DE,Germany,EURO,0,2,0,6
1/30/20,DE,Germany,EURO,0,2,0,6
1/31/20,DE,Germany,EURO,0,2,0,6
2/1/20,DE,Germany,EURO,0,2,0,6
2/2/20,DE,Germany,EURO,9,11,3,9
2/3/20,DE,Germany,EURO,0,11,0,9
2/4/20,DE,Germany,EURO,0,11,0,9
2/5/20,DE,Germany,EURO,0,11,0,9
2/6/20,DE,Germany,EURO,0,11,0,9
2/7/20,DE,Germany,EURO,0,11,0,9
2/8/20,DE,Germany,EURO,0,11,0,9
2/9/20,DE,Germany,EURO,9,20,0,9
2/10/20,DE,Germany,EURO,0,20,0,9
2/11/20,DE,Germany,EURO,0,20,0,9
2/12/20,DE,Germany,EURO,0,20,0,9
2/13/20,DE,Germany,EURO,0,20,0,9
2/14/20,DE,Germany,EURO,0,20,0,9
2/15/20,DE,Germany,EURO,0,20,0,9
2/16/20,DE,Germany,EURO,5,25,0,9
2/17/20,DE,Germany,EURO,0,25,0,9
2/18/20,DE,Germany,EURO,0,25,0,9
2/19/20,DE,Germany,EURO,0,25,0,9
2/20/20,DE,Germany,EURO,0,25,0,9
2/21/20,DE,Germany,EURO,0,25,0,9
2/22/20,DE,Germany,EURO,0,25,0,9
2/23/20,DE,Germany,EURO,6,31,1,10
2/24/20,DE,Germany,EURO,0,31,0,10
2/25/20,DE,Germany,EURO,0,31,0,10
2/26/20,DE,Germany,EURO,0,31,0,10
2/27/20,DE,Germany,EURO,0,31,0,10
2/28/20,DE,Germany,EURO,0,31,0,10
2/29/20,DE,Germany,EURO,0,31,0,10
3/1/20,DE,Germany,EURO,139,170,1,11
3/2/20,DE,Germany,EURO,0,170,0,11
3/3/20,DE,Germany,EURO,0,170,0,11
3/4/20,DE,Germany,EURO,0,170,0,11
3/5/20,DE,Germany,EURO,0,170,0,11
3/6/20,DE,Germany,EURO,0,170,0,11
3/7/20,DE,Germany,EURO,0,170,0,11
3/8/20,DE,Germany,EURO,905,1075,12,23
3/9/20,DE,Germany,EURO,0,1075,0,23
3/10/20,DE,Germany,EURO,0,1075,0,23
3/11/20,DE,Germany,EURO,0,1075,0,23
3/12/20,DE,Germany,EURO,0,1075,0,23
3/13/20,DE,Germany,EURO,0,1075,0,23
3/14/20,DE,Germany,EURO,0,1075,0,23
3/15/20,DE,Germany,EURO,6441,7516,84,107
3/16/20,DE,Germany,EURO,0,7516,0,107
3/17/20,DE,Germany,EURO,0,7516,0,107
3/18/20,DE,Germany,EURO,0,7516,0,107
3/19/20,DE,Germany,EURO,0,7516,0,107
3/20/20,DE,Germany,EURO,0,7516,0,107
3/21/20,DE,Germany,EURO,0,7516,0,107
3/22/20,DE,Germany,EURO,22407,29923,479,586
3/23/20,DE,Germany,EURO,0,29923,0,586
3/24/20,DE,Germany,EURO,0,29923,0,586
3/25/20,DE,Germany,EURO,0,29923,0,586
3/26/20,DE,Germany,EURO,0,29923,0,586
3/27/20,DE,Germany,EURO,0,29923,0,586
3/28/20,DE,Germany,EURO,0,29923,0,586
3/29/20,DE,Germany,EURO,33981,63904,1459,2045
3/30/20,DE,Germany,EURO,0,63904,0,2045
3/31/20,DE,Germany,EURO,0,63904,0,2045
4/1/20,DE,Germany,EURO,0,63904,0,2045
4/2/20,DE,Germany,EURO,0,63904,0,2045
4/3/20,DE,Germany,EURO,0,63904,0,2045
4/4/20,DE,Germany,EURO,0,63904,0,2045
4/5/20,DE,Germany,EURO,36067,99971,2273,4318
4/6/20,DE,Germany,EURO,0,99971,0,4318
4/7/20,DE,Germany,EURO,0,99971,0,4318
4/8/20,DE,Germany,EURO,0,99971,0,4318
4/9/20,DE,Germany,EURO,0,99971,0,4318
4/10/20,DE,Germany,EURO,0,99971,0,4318
4/11/20,DE,Germany,EURO,0,99971,0,4318
4/12/20,DE,Germany,EURO,27145,127116,1878,6196
4/13/20,DE,Germany,EURO,0,127116,0,6196
4/14/20,DE,Germany,EURO,0,127116,0,6196
4/15/20,DE,Germany,EURO,0,127116,0,6196
4/16/20,DE,Germany,EURO,0,127116,0,6196
4/17/20,DE,Germany,EURO,0,127116,0,6196
4/18/20,DE,Germany,EURO,0,127116,0,6196
4/19/20,DE,Germany,EURO,17345,144461,1226,7422
4/20/20,DE,Germany,EURO,0,144461,0,7422
4/21/20,DE,Germany,EURO,0,144461,0,7422
4/22/20,DE,Germany,EURO,0,144461,0,7422
4/23/20,DE,Germany,EURO,0,144461,0,7422
4/24/20,DE,Germany,EURO,0,144461,0,7422
4/25/20,DE,Germany,EURO,0,144461,0,7422
4/26/20,DE,Germany,EURO,12351,156812,727,8149
4/27/20,DE,Germany,EURO,0,156812,0,8149
4/28/20,DE,Germany,EURO,0,156812,0,8149
4/29/20,DE,Germany,EURO,0,156812,0,8149
4/30/20,DE,Germany,EURO,0,156812,0,8149
5/1/20,DE,Germany,EURO,0,156812,0,8149
5/2/20,DE,Germany,EURO,0,156812,0,8149
5/3/20,DE,Germany,EURO,7442,164254,388,8537
5/4/20,DE,Germany,EURO,0,164254,0,8537
5/5/20,DE,Germany,EURO,0,164254,0,8537
5/6/20,DE,Germany,EURO,0,164254,0,8537
5/7/20,DE,Germany,EURO,0,164254,0,8537
5/8/20,DE,Germany,EURO,0,164254,0,8537
5/9/20,DE,Germany,EURO,0,164254,0,8537
5/10/20,DE,Germany,EURO,6243,170497,258,8795
5/11/20,DE,Germany,EURO,0,170497,0,8795
5/12/20,DE,Germany,EURO,0,170497,0,8795
5/13/20,DE,Germany,EURO,0,170497,0,8795
5/14/20,DE,Germany,EURO,0,170497,0,8795
5/15/20,DE,Germany,EURO,0,170497,0,8795
5/16/20,DE,Germany,EURO,0,170497,0,8795
5/17/20,DE,Germany,EURO,4775,175272,165,8960
5/18/20,DE,Germany,EURO,0,175272,0,8960
5/19/20,DE,Germany,EURO,0,175272,0,8960
5/20/20,DE,Germany,EURO,0,175272,0,8960
5/21/20,DE,Germany,EURO,0,175272,0,8960
5/22/20,DE,Germany,EURO,0,175272,0,8960
5/23/20,DE,Germany,EURO,0,175272,0,8960
5/24/20,DE,Germany,EURO,3604,178876,111,9071
5/25/20,DE,Germany,EURO,0,178876,0,9071
5/26/20,DE,Germany,EURO,0,178876,0,9071
5/27/20,DE,Germany,EURO,0,178876,0,9071
5/28/20,DE,Germany,EURO,0,178876,0,9071
5/29/20,DE,Germany,EURO,0,178876,0,9071
5/30/20,DE,Germany,EURO,0,178876,0,9071
5/31/20,DE,Germany,EURO,3206,182082,65,9136
6/1/20,DE,Germany,EURO,0,182082,0,9136
6/2/20,DE,Germany,EURO,0,182082,0,9136
6/3/20,DE,Germany,EURO,0,182082,0,9136
6/4/20,DE,Germany,EURO,0,182082,0,9136
6/5/20,DE,Germany,EURO,0,182082,0,9136
6/6/20,DE,Germany,EURO,0,182082,0,9136
6/7/20,DE,Germany,EURO,2354,184436,44,9180
6/8/20,DE,Germany,EURO,0,184436,0,9180
6/9/20,DE,Germany,EURO,0,184436,0,9180
6/10/20,DE,Germany,EURO,0,184436,0,9180
6/11/20,DE,Germany,EURO,0,184436,0,9180
6/12/20,DE,Germany,EURO,0,184436,0,9180
6/13/20,DE,Germany,EURO,0,184436,0,9180
6/14/20,DE,Germany,EURO,2348,186784,35,9215
6/15/20,DE,Germany,EURO,0,186784,0,9215
6/16/20,DE,Germany,EURO,0,186784,0,9215
6/17/20,DE,Germany,EURO,0,186784,0,9215
6/18/20,DE,Germany,EURO,0,186784,0,9215
6/19/20,DE,Germany,EURO,0,186784,0,9215
6/20/20,DE,Germany,EURO,0,186784,0,9215
6/21/20,DE,Germany,EURO,4192,190976,41,9256
6/22/20,DE,Germany,EURO,0,190976,0,9256
6/23/20,DE,Germany,EURO,0,190976,0,9256
6/24/20,DE,Germany,EURO,0,190976,0,9256
6/25/20,DE,Germany,EURO,0,190976,0,9256
6/26/20,DE,Germany,EURO,0,190976,0,9256
6/27/20,DE,Germany,EURO,0,190976,0,9256
6/28/20,DE,Germany,EURO,3167,194143,21,9277
6/29/20,DE,Germany,EURO,0,194143,0,9277
6/30/20,DE,Germany,EURO,0,194143,0,9277
7/1/20,DE,Germany,EURO,0,194143,0,9277
7/2/20,DE,Germany,EURO,0,194143,0,9277
7/3/20,DE,Germany,EURO,0,194143,0,9277
7/4/20,DE,Germany,EURO,0,194143,0,9277
7/5/20,DE,Germany,EURO,2691,196834,26,9303
7/6/20,DE,Germany,EURO,0,196834,0,9303
7/7/20,DE,Germany,EURO,0,196834,0,9303
7/8/20,DE,Germany,EURO,0,196834,0,9303
7/9/20,DE,Germany,EURO,0,196834,0,9303
7/10/20,DE,Germany,EURO,0,196834,0,9303
7/11/20,DE,Germany,EURO,0,196834,0,9303
7/12/20,DE,Germany,EURO,2429,199263,25,9328
7/13/20,DE,Germany,EURO,0,199263,0,9328
7/14/20,DE,Germany,EURO,0,199263,0,9328
7/15/20,DE,Germany,EURO,0,199263,0,9328
7/16/20,DE,Germany,EURO,0,199263,0,9328
7/17/20,DE,Germany,EURO,0,199263,0,9328
7/18/20,DE,Germany,EURO,0,199263,0,9328
7/19/20,DE,Germany,EURO,3044,202307,31,9359
7/20/20,DE,Germany,EURO,0,202307,0,9359
7/21/20,DE,Germany,EURO,0,202307,0,9359
7/22/20,DE,Germany,EURO,0,202307,0,9359
7/23/20,DE,Germany,EURO,0,202307,0,9359
7/24/20,DE,Germany,EURO,0,202307,0,9359
7/25/20,DE,Germany,EURO,0,202307,0,9359
7/26/20,DE,Germany,EURO,3936,206243,33,9392
7/27/20,DE,Germany,EURO,0,206243,0,9392
7/28/20,DE,Germany,EURO,0,206243,0,9392
7/29/20,DE,Germany,EURO,0,206243,0,9392
7/30/20,DE,Germany,EURO,0,206243,0,9392
7/31/20,DE,Germany,EURO,0,206243,0,9392
8/1/20,DE,Germany,EURO,0,206243,0,9392
