Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/20,FR,France,EURO,0,0,0,0
1/4/20,FR,France,EURO,0,0,0,0
1/5/20,FR,France,EURO,0,0,0,0
1/6/20,FR,France,EURO,0,0,0,0
1/7/20,FR,France,EURO,0,0,0,0
1/8/20,FR,France,EURO,0,0,0,0
1/9/20,FR,France,EURO,0,0,0,0
1/10/20,FR,France,EURO,0,0,0,0
1/11/20,FR,France,EURO,0,0,0,0
1/12/20,FR,France,EURO,0,0,0,0
1/13/20,FR,France,EURO,0,0,0,0
1/14/20,FR,France,EURO,0,0,0,0
1/15/20,FR,France,EURO,0,0,0,0
1/16/20,FR,France,EURO,0,0,0,0
1/17/20,FR,France,EURO,0,0,0,0
1/18/20,FR,France,EURO,0,0,0,0
1/19/20,FR,France,EURO,0,0,0,0
1/20/20,FR,France,EURO,0,0,0,0
1/21/20,FR,France,EURO,0,0,0,0
1/22/20,FR,France,EURO,0,0,0,0
1/23/20,FR,France,EURO,0,0,0,0
1/24/20,FR,France,EURO,0,0,0,0
1/25/20,FR,France,EURO,0,0,0,0
1/26/20,FR,France,EURO,3,3,0,0
1/27/20,FR,France,EURO,0,3,0,0
1/28/20,FR,France,EURO,0,3,0,0
1/29/20,FR,France,EURO,0,3,0,0
1/30/20,FR,France,EURO,0,3,0,0
1/31/20,FR,France,EURO,0,3,0,0
2/1/20,FR,France,EURO,0,3,0,0
2/2/20,FR,France,EURO,3,6,0,0
2/3/20,FR,France,EURO,0,6,0,0
2/4/20,FR,France,EURO,0,6,0,0
2/5/20,FR,France,EURO,0,6,0,0
2/6/20,FR,France,EURO,0,6,0,0
2/7/20,FR,France,EURO,0,6,0,0
2/8/20,FR,France,EURO,0,6,0,0
2/9/20,FR,France,EURO,6,12,0,0
2/10/20,FR,France,EURO,0,12,0,0
2/11/20,FR,France,EURO,0,12,0,0
2/12/20,FR,France,EURO,0,12,0,0
2/13/20,FR,France,EURO,0,12,0,0
2/14/20,FR,France,EURO,0,12,0,0
2/15/20,FR,France,EURO,0,12,0,0
2/16/20,FR,France,EURO,0,12,0,0
2/17/20,FR,France,EURO,0,12,0,0
2/18/20,FR,France,EURO,0,12,0,0
2/19/20,FR,France,EURO,0,12,0,0
2/20/20,FR,France,EURO,0,12,0,0
2/21/20,FR,France,EURO,0,12,0,0
2/22/20,FR,France,EURO,0,12,0,0
2/23/20,FR,France,EURO,4,16,0,0
2/24/20,FR,France,EURO,0,16,0,0
2/25/20,FR,France,EURO,0,16,0,0
2/26/20,FR,France,EURO,0,16,0,0
2/27/20,FR,France,EURO,0,16,0,0
2/28/20,FR,France,EURO,0,16,0,0
2/29/20,FR,France,EURO,0,16,0,0
3/1/20,FR,France,EURO,0,16,0,0
3/2/20,FR,France,EURO,0,16,0,0
3/3/20,FR,France,EURO,0,16,0,0
3/4/20,FR,France,EURO,0,16,0,0
3/5/20,FR,France,EURO,0,16,0,0
3/6/20,FR,France,EURO,0,16,0,0
3/7/20,FR,France,EURO,0,16,0,0
3/8/20,FR,France,EURO,0,16,0,0
3/9/20,FR,France,EURO,0,16,0,0
3/10/20,FR,France,EURO,0,16,0,0
3/11/20,FR,France,EURO,0,16,0,0
