Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/20,GB,The United Kingdom,EURO,0,0,0,0
1/4/20,GB,The United Kingdom,EURO,0,0,0,0
1/5/20,GB,The United Kingdom,EURO,0,0,0,0
1/6/20,GB,The United Kingdom,EURO,0,0,0,0
1/7/20,GB,The United Kingdom,EURO,0,0,0,0
1/8/20,GB,The United Kingdom,EURO,0,0,0,0
1/9/20,GB,The United Kingdom,EURO,0,0,0,0
1/10/20,GB,The United Kingdom,EURO,0,0,0,0
1/11/20,GB,The United Kingdom,EURO,0,0,0,0
1/12/20,GB,The United Kingdom,EURO,0,0,0,0
1/13/20,GB,The United Kingdom,EURO,0,0,0,0
1/14/20,GB,The United Kingdom,EURO,0,0,0,0
1/15/20,GB,The United Kingdom,EURO,0,0,0,0
1/16/20,GB,The United Kingdom,EURO,0,0,0,0
1/17/20,GB,The United Kingdom,EURO,0,0,0,0
1/18/20,GB,The United Kingdom,EURO,0,0,0,0
1/19/20,GB,The United Kingdom,EURO,0,0,0,0
1/20/20,GB,The United Kingdom,EURO,0,0,0,0
1/21/20,GB,The United Kingdom,EURO,0,0,0,0
1/22/20,GB,The United Kingdom,EURO,0,0,0,0
1/23/20,GB,The United Kingdom,EURO,0,0,0,0
1/24/20,GB,The United Kingdom,EURO,0,0,0,0
1/25/20,GB,The United Kingdom,EURO,0,0,0,0
1/26/20,GB,The United Kingdom,EURO,0,0,0,0
1/27/20,GB,The United Kingdom,EURO,0,0,0,0
1/28/20,GB,The United Kingdom,EURO,0,0,0,0
1/29/20,GB,The United Kingdom,EURO,0,0,0,0
1/30/20,GB,The United Kingdom,EURO,0,0,0,0
1/31/20,GB,The United Kingdom,EURO,0,0,0,0
2/1/20,GB,The United Kingdom,EURO,1,1,1,1
2/2/20,GB,The United Kingdom,EURO,0,1,0,1
2/3/20,GB,The United Kingdom,EURO,0,1,0,1
2/4/20,GB,The United Kingdom,EURO,1,2,1,2
