Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/20,IN,India,SEARO,0,0,0,0
1/4/20,IN,India,SEARO,0,0,0,0
1/5/20,IN,India,SEARO,0,0,0,0
1/6/20,IN,India,SEARO,0,0,0,0
1/7/20,IN,India,SEARO,0,0,0,0
1/8/20,IN,India,SEARO,0,0,0,0
1/9/20,IN,India,SEARO,0,0,0,0
1/10/20,IN,India,SEARO,0,0,0,0
1/11/20,IN,India,SEARO,0,0,0,0
1/12/20,IN,India,SEARO,0,0,0,0
1/13/20,IN,India,SEARO,0,0,0,0
1/14/20,IN,India,SEARO,0,0,0,0
1/15/20,IN,India,SEARO,0,0,0,0
1/16/20,IN,India,SEARO,0,0,0,0
1/17/20,IN,India,SEARO,0,0,0,0
1/18/20,IN,India,SEARO,0,0,0,0
1/19/20,IN,India,SEARO,0,0,0,0
1/20/20,IN,India,SEARO,0,0,0,0
1/21/20,IN,India,SEARO,0,0,0,0
1/22/20,IN,India,SEARO,0,0,0,0
1/23/20,IN,India,SEARO,0,0,0,0
1/24/20,IN,India,SEARO,0,0,0,0
1/25/20,IN,India,SEARO,0,0,0,0
1/26/20,IN,India,SEARO,0,0,0,0
1/27/20,IN,India,SEARO,0,0,0,0
1/28/20,IN,India,SEARO,0,0,0,0
1/29/20,IN,India,SEARO,0,0,0,0
1/30/20,IN,India,SEARO,1,1,0,0
1/31/20,IN,India,SEARO,4,5,0,0
2/1/20,IN,India,SEARO,0,5,0,0
2/2/20,IN,India,SEARO,-3,2,0,0
2/3/20,IN,India,SEARO,1,3,0,0
2/4/20,IN,India,SEARO,4,7,0,0
2/5/20,IN,India,SEARO,0,7,0,0
2/6/20,IN,India,SEARO,0,7,0,0
2/7/20,IN,India,SEARO,0,7,0,0
2/8/20,IN,India,SEARO,0,7,0,0
2/9/20,IN,India,SEARO,0,7,0,0
2/10/20,IN,India,SEARO,0,7,0,0
2/11/20,IN,India,SEARO,0,7,0,0
2/12/20,IN,India,SEARO,0,7,0,0
2/13/20,IN,India,SEARO,0,7,0,0
2/14/20,IN,India,SEARO,0,7,0,0
2/15/20,IN,India,SEARO,0,7,0,0
2/16/20,IN,India,SEARO,0,7,0,0
2/17/20,IN,India,SEARO,0,7,0,0
2/18/20,IN,India,SEARO,0,7,0,0
2/19/20,IN,India,SEARO,0,7,0,0
2/20/20,IN,India,SEARO,0,7,0,0
2/21/20,IN,India,SEARO,0,7,0,0
2/22/20,IN,India,SEARO,0,7,0,0
2/23/20,IN,India,SEARO,0,7,0,0
2/24/20,IN,India,SEARO,0,7,0,0
2/25/20,IN,India,SEARO,0,7,0,0
2/26/20,IN,India,SEARO,0,7,0,0
2/27/20,IN,India,SEARO,0,7,0,0
2/28/20,IN,India,SEARO,0,7,0,0
2/29/20,IN,India,SEARO,0,7,0,0
3/1/20,IN,India,SEARO,0,7,0,0
3/2/20,IN,India,SEARO,-2,5,0,0
3/3/20,IN,India,SEARO,4,9,0,0
3/4/20,IN,India,SEARO,19,28,0,0
3/5/20,IN,India,SEARO,1,29,0,0
3/6/20,IN,India,SEARO,2,31,0,0
3/7/20,IN,India,SEARO,3,34,0,0
3/8/20,IN,India,SEARO,5,39,0,0
3/9/20,IN,India,SEARO,5,44,0,0
3/10/20,IN,India,SEARO,6,50,0,0
3/11/20,IN,India,SEARO,10,60,0,0
3/12/20,IN,India,SEARO,13,73,0,0
3/13/20,IN,India,SEARO,8,81,1,1
3/14/20,IN,India,SEARO,3,84,1,2
3/15/20,IN,India,SEARO,23,107,0,2
3/16/20,IN,India,SEARO,7,114,0,2
3/17/20,IN,India,SEARO,23,137,1,3
3/18/20,IN,India,SEARO,14,151,0,3
3/19/20,IN,India,SEARO,22,173,1,4
3/20/20,IN,India,SEARO,50,223,0,4
3/21/20,IN,India,SEARO,60,283,0,4
3/22/20,IN,India,SEARO,77,360,3,7
3/23/20,IN,India,SEARO,74,434,2,9
3/24/20,IN,India,SEARO,85,519,0,9
3/25/20,IN,India,SEARO,87,606,1,10
3/26/20,IN,India,SEARO,43,649,3,13
3/27/20,IN,India,SEARO,75,724,4,17
3/28/20,IN,India,SEARO,185,909,2,19
3/29/20,IN,India,SEARO,70,979,6,25
3/30/20,IN,India,SEARO,92,1071,4,29
3/31/20,IN,India,SEARO,180,1251,3,32
4/1/20,IN,India,SEARO,386,1637,6,38
4/2/20,IN,India,SEARO,328,1965,12,50
4/3/20,IN,India,SEARO,336,2301,6,56
4/4/20,IN,India,SEARO,601,2902,12,68
4/5/20,IN,India,SEARO,472,3374,9,77
4/6/20,IN,India,SEARO,693,4067,32,109
4/7/20,IN,India,SEARO,354,4421,5,114
4/8/20,IN,India,SEARO,853,5274,35,149
4/9/20,IN,India,SEARO,591,5865,20,169
4/10/20,IN,India,SEARO,547,6412,30,199
4/11/20,IN,India,SEARO,1035,7447,40,239
4/12/20,IN,India,SEARO,909,8356,34,273
4/13/20,IN,India,SEARO,796,9152,35,308
4/14/20,IN,India,SEARO,1211,10363,31,339
4/15/20,IN,India,SEARO,1076,11439,38,377
4/16/20,IN,India,SEARO,941,12380,37,414
4/17/20,IN,India,SEARO,1007,13387,23,437
4/18/20,IN,India,SEARO,991,14378,43,480
4/19/20,IN,India,SEARO,1334,15712,27,507
4/20/20,IN,India,SEARO,1553,17265,36,543
4/21/20,IN,India,SEARO,1336,18601,47,590
4/22/20,IN,India,SEARO,1383,19984,50,640
4/23/20,IN,India,SEARO,1409,21393,41,681
4/24/20,IN,India,SEARO,1684,23077,37,718
4/25/20,IN,India,SEARO,1429,24506,57,775
4/26/20,IN,India,SEARO,1990,26496,49,824
4/27/20,IN,India,SEARO,1396,27892,48,872
4/28/20,IN,India,SEARO,1543,29435,62,934
4/29/20,IN,India,SEARO,1897,31332,73,1007
4/30/20,IN,India,SEARO,1718,33050,67,1074
5/1/20,IN,India,SEARO,1993,35043,73,1147
5/2/20,IN,India,SEARO,2293,37336,71,1218
5/3/20,IN,India,SEARO,2644,39980,83,1301
5/4/20,IN,India,SEARO,2553,42533,72,1373
5/5/20,IN,India,SEARO,3900,46433,195,1568
5/6/20,IN,India,SEARO,2958,49391,126,1694
5/7/20,IN,India,SEARO,3561,52952,89,1783
5/8/20,IN,India,SEARO,3390,56342,103,1886
5/9/20,IN,India,SEARO,3320,59662,95,1981
5/10/20,IN,India,SEARO,3277,62939,128,2109
5/11/20,IN,India,SEARO,4213,67152,97,2206
5/12/20,IN,India,SEARO,3604,70756,87,2293
5/13/20,IN,India,SEARO,3525,74281,122,2415
5/14/20,IN,India,SEARO,3722,78003,134,2549
5/15/20,IN,India,SEARO,3967,81970,100,2649
5/16/20,IN,India,SEARO,3970,85940,103,2752
5/17/20,IN,India,SEARO,4987,90927,120,2872
5/18/20,IN,India,SEARO,5242,96169,157,3029
5/19/20,IN,India,SEARO,4970,101139,134,3163
5/20/20,IN,India,SEARO,5611,106750,140,3303
5/21/20,IN,India,SEARO,5609,112359,132,3435
5/22/20,IN,India,SEARO,6088,118447,148,3583
5/23/20,IN,India,SEARO,6654,125101,137,3720
5/24/20,IN,India,SEARO,6767,131868,147,3867
5/25/20,IN,India,SEARO,6977,138845,154,4021
5/26/20,IN,India,SEARO,6535,145380,146,4167
5/27/20,IN,India,SEARO,6387,151767,170,4337
5/28/20,IN,India,SEARO,6566,158333,194,4531
5/29/20,IN,India,SEARO,7466,165799,175,4706
5/30/20,IN,India,SEARO,7964,173763,265,4971
5/31/20,IN,India,SEARO,8380,182143,193,5164
