Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/20,JP,Japan,WPRO,0,0,0,0
1/4/20,JP,Japan,WPRO,0,0,0,0
1/5/20,JP,Japan,WPRO,0,0,0,0
1/6/20,JP,Japan,WPRO,0,0,0,0
1/7/20,JP,Japan,WPRO,0,0,0,0
1/8/20,JP,Japan,WPRO,0,0,0,0
1/9/20,JP,Japan,WPRO,0,0,0,0
1/10/20,JP,Japan,WPRO,0,0,0,0
1/11/20,JP,Japan,WPRO,0,0,0,0
1/12/20,JP,Japan,WPRO,0,0,0,0
1/13/20,JP,Japan,WPRO,0,0,0,0
1/14/20,JP,Japan,WPRO,1,1,0,0
1/15/20,JP,Japan,WPRO,0,1,0,0
1/16/20,JP,Japan,WPRO,0,1,0,0
1/17/20,JP,Japan,WPRO,0,1,0,0
1/18/20,JP,Japan,WPRO,0,1,0,0
1/19/20,JP,Japan,WPRO,0,1,0,0
1/20/20,JP,Japan,WPRO,0,1,0,0
1/21/20,JP,Japan,WPRO,0,1,0,0
1/22/20,JP,Japan,WPRO,0,1,0,0
1/23/20,JP,Japan,WPRO,0,1,0,0
1/24/20,JP,Japan,WPRO,0,1,0,0
1/25/20,JP,Japan,WPRO,1,2,0,0
1/26/20,JP,Japan,WPRO,1,3,0,0
1/27/20,JP,Japan,WPRO,1,4,0,0
1/28/20,JP,Japan,WPRO,0,4,0,0
1/29/20,JP,Japan,WPRO,3,7,0,0
1/30/20,JP,Japan,WPRO,1,8,0,0
1/31/20,JP,Japan,WPRO,4,12,0,0
2/1/20,JP,Japan,WPRO,1,13,0,0
2/2/20,JP,Japan,WPRO,2,15,0,0
2/3/20,JP,Japan,WPRO,5,20,0,0
2/4/20,JP,Japan,WPRO,0,20,0,0
2/5/20,JP,Japan,WPRO,3,23,0,0
2/6/20,JP,Japan,WPRO,2,25,0,0
2/7/20,JP,Japan,WPRO,0,25,0,0
2/8/20,JP,Japan,WPRO,0,25,0,0
2/9/20,JP,Japan,WPRO,0,25,0,0
2/10/20,JP,Japan,WPRO,0,25,0,0
2/11/20,JP,Japan,WPRO,1,26,0,0
2/12/20,JP,Japan,WPRO,2,28,0,0
2/13/20,JP,Japan,WPRO,0,28,1,1
2/14/20,JP,Japan,WPRO,5,33,0,1
2/15/20,JP,Japan,WPRO,7,40,0,1
2/16/20,JP,Japan,WPRO,12,52,0,1
2/17/20,JP,Japan,WPRO,6,58,0,1
2/18/20,JP,Japan,WPRO,7,65,0,1
2/19/20,JP,Japan,WPRO,8,73,0,1
2/20/20,JP,Japan,WPRO,1,74,0,1
2/21/20,JP,Japan,WPRO,19,93,0,1
2/22/20,JP,Japan,WPRO,12,105,0,1
2/23/20,JP,Japan,WPRO,27,132,0,1
2/24/20,JP,Japan,WPRO,12,144,0,1
2/25/20,JP,Japan,WPRO,12,156,0,1
2/26/20,JP,Japan,WPRO,8,164,1,2
2/27/20,JP,Japan,WPRO,22,186,2,4
2/28/20,JP,Japan,WPRO,24,210,0,4
2/29/20,JP,Japan,WPRO,20,230,1,5
3/1/20,JP,Japan,WPRO,9,239,1,6
3/2/20,JP,Japan,WPRO,15,254,0,6
3/3/20,JP,Japan,WPRO,14,268,0,6
3/4/20,JP,Japan,WPRO,16,284,0,6
3/5/20,JP,Japan,WPRO,33,317,0,6
3/6/20,JP,Japan,WPRO,32,349,0,6
3/7/20,JP,Japan,WPRO,59,408,0,6
3/8/20,JP,Japan,WPRO,47,455,0,6
3/9/20,JP,Japan,WPRO,34,489,4,10
3/10/20,JP,Japan,WPRO,25,514,0,10
3/11/20,JP,Japan,WPRO,54,568,5,15
3/12/20,JP,Japan,WPRO,51,619,1,16
3/13/20,JP,Japan,WPRO,56,675,3,19
3/14/20,JP,Japan,WPRO,41,716,3,22
3/15/20,JP,Japan,WPRO,64,780,0,22
3/16/20,JP,Japan,WPRO,34,814,5,27
3/17/20,JP,Japan,WPRO,15,829,2,29
3/18/20,JP,Japan,WPRO,44,873,0,29
3/19/20,JP,Japan,WPRO,41,914,0,29
3/20/20,JP,Japan,WPRO,36,950,4,33
3/21/20,JP,Japan,WPRO,46,996,2,35
3/22/20,JP,Japan,WPRO,50,1046,5,40
3/23/20,JP,Japan,WPRO,43,1089,0,40
3/24/20,JP,Japan,WPRO,39,1128,2,42
3/25/20,JP,Japan,WPRO,65,1193,1,43
3/26/20,JP,Japan,WPRO,98,1291,2,45
3/27/20,JP,Japan,WPRO,96,1387,1,46
3/28/20,JP,Japan,WPRO,112,1499,3,49
3/29/20,JP,Japan,WPRO,194,1693,3,52
3/30/20,JP,Japan,WPRO,173,1866,2,54
3/31/20,JP,Japan,WPRO,87,1953,2,56
4/1/20,JP,Japan,WPRO,225,2178,1,57
4/2/20,JP,Japan,WPRO,378,2556,3,60
4/3/20,JP,Japan,WPRO,61,2617,3,63
4/4/20,JP,Japan,WPRO,318,2935,6,69
4/5/20,JP,Japan,WPRO,336,3271,1,70
4/6/20,JP,Japan,WPRO,383,3654,3,73
4/7/20,JP,Japan,WPRO,252,3906,7,80
4/8/20,JP,Japan,WPRO,351,4257,1,81
4/9/20,JP,Japan,WPRO,511,4768,4,85
4/10/20,JP,Japan,WPRO,579,5347,3,88
4/11/20,JP,Japan,WPRO,658,6005,6,94
4/12/20,JP,Japan,WPRO,743,6748,4,98
4/13/20,JP,Japan,WPRO,507,7255,4,102
4/14/20,JP,Japan,WPRO,390,7645,7,109
4/15/20,JP,Japan,WPRO,455,8100,10,119
4/16/20,JP,Japan,WPRO,482,8582,17,136
4/17/20,JP,Japan,WPRO,585,9167,12,148
4/18/20,JP,Japan,WPRO,628,9795,6,154
4/19/20,JP,Japan,WPRO,566,10361,7,161
4/20/20,JP,Japan,WPRO,390,10751,10,171
4/21/20,JP,Japan,WPRO,368,11119,15,186
4/22/20,JP,Japan,WPRO,377,11496,91,277
4/23/20,JP,Japan,WPRO,423,11919,10,287
4/24/20,JP,Japan,WPRO,469,12388,30,317
4/25/20,JP,Japan,WPRO,441,12829,17,334
4/26/20,JP,Japan,WPRO,353,13182,14,348
4/27/20,JP,Japan,WPRO,203,13385,3,351
4/28/20,JP,Japan,WPRO,191,13576,25,376
4/29/20,JP,Japan,WPRO,276,13852,13,389
4/30/20,JP,Japan,WPRO,236,14088,26,415
5/1/20,JP,Japan,WPRO,193,14281,17,432
5/2/20,JP,Japan,WPRO,264,14545,26,458
5/3/20,JP,Japan,WPRO,294,14839,34,492
5/4/20,JP,Japan,WPRO,218,15057,18,510
