Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/20,US,United States of America,AMRO,0,0,0,0
1/4/20,US,United States of America,AMRO,0,0,0,0
1/5/20,US,United States of America,AMRO,0,0,0,0
1/6/20,US,United States of America,AMRO,0,0,0,0
1/7/20,US,United States of America,AMRO,0,0,0,0
1/8/20,US,United States of America,AMRO,0,0,0,0
1/9/20,US,United States of America,AMRO,0,0,0,0
1/10/20,US,United States of America,AMRO,0,0,0,0
1/11/20,US,United States of America,AMRO,0,0,0,0
1/12/20,US,United States of America,AMRO,0,0,0,0
1/13/20,US,United States of America,AMRO,0,0,0,0
1/14/20,US,United States of America,AMRO,0,0,0,0
1/15/20,US,United States of America,AMRO,0,0,0,0
1/16/20,US,United States of America,AMRO,0,0,0,0
1/17/20,US,United States of America,AMRO,0,0,0,0
1/18/20,US,United States of America,AMRO,0,0,0,0
1/19/20,US,United States of America,AMRO,0,0,0,0
1/20/20,US,United States of America,AMRO,1,1,0,0
1/21/20,US,United States of America,AMRO,0,1,0,0
1/22/20,US,United States of America,AMRO,0,1,0,0
1/23/20,US,United States of America,AMRO,0,1,0,0
1/24/20,US,United States of America,AMRO,0,1,0,0
1/25/20,US,United States of America,AMRO,5,6,0,0
1/26/20,US,United States of America,AMRO,1,7,0,0
1/27/20,US,United States of America,AMRO,0,7,0,0
1/28/20,US,United States of America,AMRO,1,8,0,0
1/29/20,US,United States of America,AMRO,0,8,0,0
1/30/20,US,United States of America,AMRO,0,8,0,0
1/31/20,US,United States of America,AMRO,0,8,0,0
2/1/20,US,United States of America,AMRO,0,8,0,0
2/2/20,US,United States of America,AMRO,1,9,0,0
2/3/20,US,United States of America,AMRO,1,10,0,0
2/4/20,US,United States of America,AMRO,3,13,0,0
2/5/20,US,United States of America,AMRO,4,17,0,0
2/6/20,US,United States of America,AMRO,2,19,0,0
2/7/20,US,United States of America,AMRO,0,19,0,0
2/8/20,US,United States of America,AMRO,0,19,0,0
2/9/20,US,United States of America,AMRO,1,20,0,0
2/10/20,US,United States of America,AMRO,0,20,0,0
2/11/20,US,United States of America,AMRO,0,20,0,0
2/12/20,US,United States of America,AMRO,0,20,0,0
2/13/20,US,United States of America,AMRO,0,20,0,0
2/14/20,US,United States of America,AMRO,2,22,0,0
2/15/20,US,United States of America,AMRO,1,23,0,0
2/16/20,US,United States of America,AMRO,1,24,0,0
2/17/20,US,United States of America,AMRO,0,24,0,0
2/18/20,US,United States of America,AMRO,0,24,0,0
2/19/20,US,United States of America,AMRO,2,26,0,0
2/20/20,US,United States of America,AMRO,5,31,0,0
2/21/20,US,United States of America,AMRO,3,34,0,0
2/22/20,US,United States of America,AMRO,1,35,0,0
2/23/20,US,United States of America,AMRO,5,40,0,0
2/24/20,US,United States of America,AMRO,8,48,0,0
2/25/20,US,United States of America,AMRO,0,48,0,0
2/26/20,US,United States of America,AMRO,4,52,0,0
2/27/20,US,United States of America,AMRO,4,56,0,0
2/28/20,US,United States of America,AMRO,8,64,0,0
2/29/20,US,United States of America,AMRO,5,69,1,1
3/1/20,US,United States of America,AMRO,4,73,0,1
3/2/20,US,United States of America,AMRO,9,82,1,2
3/3/20,US,United States of America,AMRO,18,100,0,2
3/4/20,US,United States of America,AMRO,35,135,6,8
3/5/20,US,United States of America,AMRO,51,186,3,11
3/6/20,US,United States of America,AMRO,70,256,2,13
3/7/20,US,United States of America,AMRO,78,334,3,16
3/8/20,US,United States of America,AMRO,130,464,3,19
3/9/20,US,United States of America,AMRO,146,610,5,24
3/10/20,US,United States of America,AMRO,212,822,4,28
3/11/20,US,United States of America,AMRO,390,1212,4,32
3/12/20,US,United States of America,AMRO,497,1709,7,39
3/13/20,US,United States of America,AMRO,525,2234,12,51
3/14/20,US,United States of America,AMRO,727,2961,7,58
3/15/20,US,United States of America,AMRO,968,3929,11,69
3/16/20,US,United States of America,AMRO,1219,5148,13,82
3/17/20,US,United States of America,AMRO,2135,7283,18,100
3/18/20,US,United States of America,AMRO,2369,9652,21,121
3/19/20,US,United States of America,AMRO,3229,12881,28,149
3/20/20,US,United States of America,AMRO,4862,17743,64,213
3/21/20,US,United States of America,AMRO,6113,23856,69,282
3/22/20,US,United States of America,AMRO,7559,31415,92,374
3/23/20,US,United States of America,AMRO,9110,40525,112,486
3/24/20,US,United States of America,AMRO,10765,51290,118,604
3/25/20,US,United States of America,AMRO,10754,62044,164,768
3/26/20,US,United States of America,AMRO,11332,73376,209,977
3/27/20,US,United States of America,AMRO,14115,87491,301,1278
3/28/20,US,United States of America,AMRO,18474,105965,341,1619
3/29/20,US,United States of America,AMRO,20344,126309,487,2106
3/30/20,US,United States of America,AMRO,20673,146982,556,2662
3/31/20,US,United States of America,AMRO,26161,173143,665,3327
4/1/20,US,United States of America,AMRO,15536,188679,631,3958
4/2/20,US,United States of America,AMRO,23260,211939,982,4940
4/3/20,US,United States of America,AMRO,28674,240613,1121,6061
4/4/20,US,United States of America,AMRO,29790,270403,1311,7372
4/5/20,US,United States of America,AMRO,32057,302460,1376,8748
4/6/20,US,United States of America,AMRO,32134,334594,1540,10288
4/7/20,US,United States of America,AMRO,26984,361578,1873,12161
4/8/20,US,United States of America,AMRO,28629,390207,1691,13852
4/9/20,US,United States of America,AMRO,29355,419562,2093,15945
4/10/20,US,United States of America,AMRO,34148,453710,2221,18166
4/11/20,US,United States of America,AMRO,34743,488453,2230,20396
4/12/20,US,United States of America,AMRO,33179,521632,2241,22637
4/13/20,US,United States of America,AMRO,31535,553167,2192,24829
4/14/20,US,United States of America,AMRO,27094,580261,1857,26686
4/15/20,US,United States of America,AMRO,25244,605505,1905,28591
4/16/20,US,United States of America,AMRO,25259,630764,2432,31023
4/17/20,US,United States of America,AMRO,25208,655972,2731,33754
4/18/20,US,United States of America,AMRO,31494,687466,2445,36199
4/19/20,US,United States of America,AMRO,30316,717782,2336,38535
4/20/20,US,United States of America,AMRO,28281,746063,1848,40383
4/21/20,US,United States of America,AMRO,26070,772133,1993,42376
4/22/20,US,United States of America,AMRO,26428,798561,2077,44453
4/23/20,US,United States of America,AMRO,25927,824488,2673,47126
4/24/20,US,United States of America,AMRO,30470,854958,2221,49347
4/25/20,US,United States of America,AMRO,33211,888169,1984,51331
4/26/20,US,United States of America,AMRO,34778,922947,2103,53434
4/27/20,US,United States of America,AMRO,33603,956550,1892,55326
4/28/20,US,United States of America,AMRO,26063,982613,1535,56861
4/29/20,US,United States of America,AMRO,23758,1006371,1489,58350
4/30/20,US,United States of America,AMRO,23935,1030306,2111,60461
5/1/20,US,United States of America,AMRO,26774,1057080,2417,62878
5/2/20,US,United States of America,AMRO,31221,1088301,2238,65116
5/3/20,US,United States of America,AMRO,33082,1121383,1953,67069
5/4/20,US,United States of America,AMRO,28292,1149675,1609,68678
5/5/20,US,United States of America,AMRO,25927,1175602,1412,70090
5/6/20,US,United States of America,AMRO,22324,1197926,1271,71361
5/7/20,US,United States of America,AMRO,22878,1220804,2434,73795
5/8/20,US,United States of America,AMRO,25440,1246244,2341,76136
5/9/20,US,United States of America,AMRO,28552,1274796,2033,78169
5/10/20,US,United States of America,AMRO,28833,1303629,1658,79827
5/11/20,US,United States of America,AMRO,25917,1329546,1491,81318
5/12/20,US,United States of America,AMRO,20656,1350202,1073,82391
5/13/20,US,United States of America,AMRO,19950,1370152,1034,83425
5/14/20,US,United States of America,AMRO,23902,1394054,1533,84958
5/15/20,US,United States of America,AMRO,17336,1411390,1507,86465
5/16/20,US,United States of America,AMRO,34643,1446033,1943,88408
5/17/20,US,United States of America,AMRO,26628,1472661,1549,89957
5/18/20,US,United States of America,AMRO,26081,1498742,1239,91196
5/19/20,US,United States of America,AMRO,19917,1518659,927,92123
5/20/20,US,United States of America,AMRO,22744,1541403,946,93069
5/21/20,US,United States of America,AMRO,21923,1563326,1179,94248
5/22/20,US,United States of America,AMRO,23506,1586832,1374,95622
5/23/20,US,United States of America,AMRO,26191,1613023,1083,96705
5/24/20,US,United States of America,AMRO,25963,1638986,1810,98515
5/25/20,US,United States of America,AMRO,21465,1660451,937,99452
5/26/20,US,United States of America,AMRO,20651,1681102,788,100240
5/27/20,US,United States of America,AMRO,19379,1700481,687,100927
5/28/20,US,United States of America,AMRO,17510,1717991,811,101738
5/29/20,US,United States of America,AMRO,19508,1737499,1285,103023
5/30/20,US,United States of America,AMRO,24182,1761681,1251,104274
5/31/20,US,United States of America,AMRO,23741,1785422,1051,105325
6/1/20,US,United States of America,AMRO,24127,1809549,906,106231
6/2/20,US,United States of America,AMRO,21466,1831015,673,106904
6/3/20,US,United States of America,AMRO,17157,1848172,691,107595
6/4/20,US,United States of America,AMRO,20974,1869146,934,108529
6/5/20,US,United States of America,AMRO,20695,1889841,1022,109551
6/6/20,US,United States of America,AMRO,20870,1910711,885,110436
6/7/20,US,United States of America,AMRO,24491,1935202,876,111312
6/8/20,US,United States of America,AMRO,23285,1958487,669,111981
6/9/20,US,United States of America,AMRO,18455,1976942,593,112574
6/10/20,US,United States of America,AMRO,18151,1995093,776,113350
6/11/20,US,United States of America,AMRO,18581,2013674,827,114177
6/12/20,US,United States of America,AMRO,22181,2035855,882,115059
6/13/20,US,United States of America,AMRO,22890,2058745,888,115947
6/14/20,US,United States of America,AMRO,28333,2087078,735,116682
6/15/20,US,United States of America,AMRO,26434,2113512,685,117367
6/16/20,US,United States of America,AMRO,20778,2134290,489,117856
6/17/20,US,United States of America,AMRO,20591,2154881,525,118381
6/18/20,US,United States of America,AMRO,24777,2179658,674,119055
6/19/20,US,United States of America,AMRO,25816,2205474,684,119739
6/20/20,US,United States of America,AMRO,28520,2233994,643,120382
6/21/20,US,United States of America,AMRO,33105,2267099,755,121137
6/22/20,US,United States of America,AMRO,33467,2300566,576,121713
6/23/20,US,United States of America,AMRO,27345,2327911,413,122126
6/24/20,US,United States of America,AMRO,28698,2356609,415,122541
6/25/20,US,United States of America,AMRO,37887,2394496,746,123287
6/26/20,US,United States of America,AMRO,37320,2431816,692,123979
6/27/20,US,United States of America,AMRO,47021,2478837,2533,126512
6/28/20,US,United States of America,AMRO,46540,2525377,706,127218
6/29/20,US,United States of America,AMRO,43653,2569030,593,127811
6/30/20,US,United States of America,AMRO,37583,2606613,439,128250
7/1/20,US,United States of America,AMRO,38517,2645130,461,128711
7/2/20,US,United States of America,AMRO,47253,2692383,662,129373
7/3/20,US,United States of America,AMRO,59342,2751725,782,130155
7/4/20,US,United States of America,AMRO,55452,2807177,704,130859
7/5/20,US,United States of America,AMRO,60366,2867543,810,131669
7/6/20,US,United States of America,AMRO,48978,2916521,539,132208
7/7/20,US,United States of America,AMRO,40413,2956934,460,132668
7/8/20,US,United States of America,AMRO,50763,3007697,598,133266
7/9/20,US,United States of America,AMRO,56754,3064451,928,134194
7/10/20,US,United States of America,AMRO,64775,3129226,1079,135273
7/11/20,US,United States of America,AMRO,61943,3191169,961,136234
7/12/20,US,United States of America,AMRO,68579,3259748,964,137198
7/13/20,US,United States of America,AMRO,68262,3328010,889,138087
7/14/20,US,United States of America,AMRO,58680,3386690,840,138927
7/15/20,US,United States of America,AMRO,56287,3442977,731,139658
